Date,BEAI2,BRLI4,CMMI4,COPI2,DBQI4,FAII4,GGYM7,HAVI2,HNNM7,HNYI2,IL03,IL03_Tail,IL04,IL04_Tail,IL05,IL05_Tail,IL06,IL06_Tail,IL07,IL07_Tail,IL08,IL08_Tail,KHBI2,KNGI2,LSLI2,MI11,MI11_Tail,MI12,MI12_Tail,MI13,MI13_Tail,MI14,MI14_Tail,MI15,MI15_Tail,MI16,MI16_Tail,MI17,MI17_Tail,MI18,MI18_Tail,MI19,MI19_Tail,MI20,MI20_Tail,MI21,MI21_Tail,MI22,MI22_Tail,MORI2,MUSI4,PIAI2,UINI2,05552500,05527500,05585000,05446500,05583000,05570000,05555300
17Mar1999,430.66,520.86,573.09,434.21,593.84,545.71,480.12,433.53,460.12,441.74,538.58,505.18,504.92,487.41,483.46,460.29,459.05,444.58,440.35,434.5,429.1,429.1,530.62,434.85,443.99,602.72,593.56,591.84,585.85,582.95,574.33,572.02,562.1,561.25,548.36,545.11,538.47,535.83,532.34,528.12,521.87,518.51,482.33,478.95,473.84,470.09,463.81,459.55,453.07,486.03,538,440.89,470.09,469.9999999,513.87,444.77,570.90,460.51,475.39,528.61
18Mar1999,430.45,520.81,573.65,435.56,593.62,545.89,481.61,433.82,460.01,442.75,538.75,505.08,504.91,489.07,483.39,461.37,459,447.86,440.7,436.8,428.4,428.4,530.77,436.61,446.92,602.93,593.4,591.82,585.67,582.95,574.82,572.58,562.28,561.21,548.86,545.34,538.44,535.87,532.4,528.28,521.9,518.35,483.74,480.64,474.29,470.4,463.79,459.46,452.91,487.55,537.99,441.47,470.47,470.9,514.14,443.80,571.25,460.43,476.02,529.83
19Mar1999,431.09,521.18,573.06,437.87,593.78,546.14,481.33,435.27,460.65,443.4,538.99,504.62,504.78,488.7,483.36,461.3,458.84,448.13,440.1,440.1,429,429,531.42,439.2,447.38,602.8,593.6,591.76,585.88,582.72,574.39,571.77,562.04,560.86,549.28,545.53,539.46,536.19,533.81,528.18,522.36,518.3,484.17,479.64,475.37,470.21,465.43,459.54,454.5,487.31,538.84,441.38,470.34,470.5000004,513.94,442.01,571.64,460.08,476.07,528.39
20Mar1999,431.46,521.43,572.94,438.46,594.48,546,481.15,435.8,460.87,443.42,538.81,504.81,504.7,487.87,483.42,460.55,458.76,447.28,440.6,440.6,429.4,429.4,531.19,439.75,446.62,602.83,594.3,592.04,586.25,582.66,574.29,571.67,562.22,561.14,548.86,544.9,539.09,535.8,533.43,527.8,522.7,518.19,484.25,478.86,475.76,470.1,465.89,459.5,454.93,486.45,538.49,441.74,470.29,470.0599999,513.76,440.58,571.59,459.88,475.41,527.46
21Mar1999,431.66,520.87,573.39,438.74,594.5,545.78,480.5,436.24,460.6,443.37,538.87,504.68,504.74,487.24,483.47,460.27,458.85,446.44,440.8,440.8,429.51,429.51,530.99,440,445.96,603.24,594.47,592.11,586.76,582.99,574.9,572.15,562.2,561.08,548.9,545.13,538.78,535.69,532.93,527.78,522,518.32,483.29,478.54,475.06,469.88,465.14,459.51,454.36,486.02,538.23,441.92,469.97,469.92,513.64,439.85,571.51,459.70,474.98,527.02
22Mar1999,431.76,521.1,573.83,438.81,595.07,546.02,480.21,436.46,460.13,443.14,538.67,504.6,504.72,487.03,483.13,460.26,458.84,446.15,440.8,440.8,429.65,429.65,531.16,440.04,445.64,603.1,595.17,592.14,587.5,582.92,575.63,572.18,562.62,561.16,549.74,545.5,539.47,536.12,533.51,527.83,522.3,518.45,482.79,478.64,474.33,469.82,464.2,459.39,453.24,485.79,538.85,441.91,469.88,469.8000001,513.57,439.48,571.44,459.50,474.76,526.70
23Mar1999,431.78,521.54,573.59,438.73,595.15,546.35,480.73,436.63,460.37,442.95,538.75,504.4,504.66,486.49,483.25,459.9,458.94,445.32,440.6,440.6,429.67,429.67,531.8,439.93,445.03,602.96,595.25,592.32,587.59,582.88,575.51,571.51,562.61,560.78,550.32,545.62,540.31,536.15,534.6,528.37,522.96,518.23,483.81,478.69,475.3,470.42,465.06,459.29,454.11,485.57,539.53,441.7,470.5,469.67,513.47,439.18,571.27,459.34,474.52,526.45
24Mar1999,431.8,521.87,573.76,438.56,595.11,546.19,481.12,436.76,460.59,442.67,538.78,504.86,504.88,486.06,483.26,459.52,458.88,445,440.4,440.4,429.71,429.71,531.81,439.74,444.72,602.98,595.2,592.34,587.6,582.97,575.54,571.93,562.67,561.07,549.87,545.12,539.82,536.13,534.06,528.01,523.26,518.27,484.47,478.77,475.77,470.19,465.68,459.22,454.5,484.79,539.14,441.5,470.37,469.5399999,513.39,438.91,571.09,459.21,474.32,526.26
25Mar1999,431.67,521.55,573.81,438.42,595.07,545.94,480.81,436.52,460.77,442.4,538.8,504.77,504.73,485.71,483.35,459.53,458.83,444.44,440.2,440.2,429.66,429.66,531.66,439.58,444.21,602.9,595.17,592.29,587.59,582.96,575.58,571.96,562.78,561.18,549.91,544.99,539.73,535.72,534.11,527.91,522.9,518.21,483.87,478.78,475.24,469.75,465.53,459.52,454.64,484.83,539.01,441.29,469.91,469.4700002,513.29,438.69,570.97,459.08,474.17,526.10
26Mar1999,431.52,521.48,573.78,438.22,594.92,545.8,480.84,436.43,460.33,442,538.72,504.42,504.74,485.3,483.27,459.79,459.14,443.94,440,440,429.5,429.5,531.21,439.36,443.68,602.79,595.06,592.15,587.54,582.87,575.6,571.93,562.78,561.14,549.9,544.98,539.77,536.01,533.92,527.75,522.8,518.2,483.85,478.96,475.12,470.11,464.99,459.25,453.95,484.61,539.1,441,470.23,469.4,513.20,438.48,570.80,458.90,473.99,525.97
